Movie,Year,Genre,PosterURL,R,G,B,HEX,Brightness
La bonne année,1973.0,"Comedy, Crime, Drama, Romance",https://image.tmdb.org/t/p/w500/3JdSrp8qV1LhYIXKONT5iP4i4LV.jpg,252,253,251,#fcfdfb,252.47299999999998
Happy New Year,1987.0,"Comedy, Crime, Romance",https://image.tmdb.org/t/p/w500/4J33Qf5LsFbateO8T9x4uxyabso.jpg,0,0,1,#000001,0.114
Boudu Saved from Drowning,1932.0,Comedy,https://image.tmdb.org/t/p/w500/hCRUtli9TCrekxSysHJ15QhMk44.jpg,210,85,43,#d2552b,117.587
Boudu,2005.0,Comedy,https://image.tmdb.org/t/p/w500/givvJ7jorPyQ6nO9lnPx99HsBr4.jpg,28,23,22,#1c1716,24.380999999999997
Breathless,1960.0,"Drama, Crime",https://image.tmdb.org/t/p/w500/9Wx0Wdn2EOqeCZU4SP6tlS3LOml.jpg,126,174,155,#7eae9b,157.48199999999997
Breathless,1983.0,"Romance, Drama, Action",https://image.tmdb.org/t/p/w500/ipnsEbOsnQYO0HMrHTyqsO5osUV.jpg,7,5,6,#070506,5.712
Three on a Spree,1961.0,Comedy,https://image.tmdb.org/t/p/w500/mWnsnNmshZGGOp3WHEzo5uGtSIV.jpg,252,247,248,#fcf7f8,248.60899999999998
Babai Abbai,1985.0,"Comedy, Romance",https://image.tmdb.org/t/p/w500/iVc5XfNvPWDOqKAlTe3dDZvH9QZ.jpg,94,77,59,#5e4d3b,80.03099999999999
Maalamaal,1988.0,Comedy,https://image.tmdb.org/t/p/w500/arrvbRbLslmM6XFRFFUNB423P8V.jpg,80,90,103,#505a67,88.492
Brewster's Millions,1985.0,Comedy,https://image.tmdb.org/t/p/w500/t4p8r8kfB2jHiK8J36XnfSP8cRO.jpg,215,220,217,#d7dcd9,218.16299999999998
Arunachalam,1997.0,"Action, Drama, Comedy",https://image.tmdb.org/t/p/w500/vplqDhbUk5GMPUosMuQy91NePxv.jpg,151,49,43,#97312b,78.81400000000001
Hello Mr. Billionaire,2018.0,Comedy,https://image.tmdb.org/t/p/w500/AeAjzra5IvNS1KU7Uxx7ySDb1mW.jpg,37,24,14,#25180e,26.746999999999996
